Date,PM2.5,NO2,O3,temperature,humidity
29/10/2018,5.80733945,54.58103976,30.19571865,11.02446483,43.74923547
29/10/2018,5.958208955,71.25970149,22.48955224,11,44.83283582
29/10/2018,5.705521472,55.79754601,27.22699387,11,48.03680982
29/10/2018,6.033536585,78.99695122,10.02134146,11,50.25914634
29/10/2018,5.623880597,81.39104478,3.773134328,10.05373134,52.03880597
29/10/2018,5.667682927,70.45121951,1.664634146,9.006097561,52.97256098
29/10/2018,5.607902736,61.00303951,0.990881459,7.750759878,55.85410334
30/10/2018,5.63880597,49.45373134,7.641791045,7.841791045,57.74925373
30/10/2018,5.609756098,42.33841463,17.3445122,8.987804878,58.94512195
30/10/2018,5.634146341,44.89939024,9.68597561,8.515243902,57.82621951
30/10/2018,5.762611276,42.18397626,8.673590504,7.290801187,59.81008902
30/10/2018,6.015243902,59.72865854,1.463414634,7,60.34756098
30/10/2018,5.670731707,74.92378049,3.87195122,7.899390244,59.85060976
30/10/2018,5.755223881,102.7253731,1.958208955,8,59.33731343
30/10/2018,5.682926829,117.9085366,0.93902439,8.637195122,57.52439024
30/10/2018,6.598159509,133.1288344,1.503067485,11.0398773,51.21779141
30/10/2018,8.139880952,94.83928571,4.800595238,13.07738095,41.77380952
30/10/2018,7.242331288,84.30981595,14.93865031,14.88650307,35.59509202
30/10/2018,6.688271605,72.99382716,30.73148148,16.0617284,33.19135802
30/10/2018,6.002994012,71.26646707,41.74850299,16.06586826,34.17964072
30/10/2018,6.178461538,90.03076923,30.34769231,14.6,37.37230769
30/10/2018,5.932515337,101.5153374,20.77607362,13.59509202,39.29754601
30/10/2018,6.191044776,89.2,15.86865672,13.0119403,41.41492537
30/10/2018,6.286585366,78.92682927,18.3902439,12.3445122,42.93292683
30/10/2018,6.067484663,95.86196319,6.404907975,12.09202454,46.62269939
30/10/2018,7.020895522,90.17014925,2.513432836,12,47.87462687
30/10/2018,6.43597561,96.22560976,1.018292683,11.36890244,49.61585366
30/10/2018,7.134146341,92.83536585,1.515243902,11,50.70121951
30/10/2018,6.325373134,84.88358209,0.346268657,11,52.31343284
30/10/2018,6.356707317,68.38719512,0.917682927,10.94817073,53.50304878
30/10/2018,5.722560976,58.46036585,5.606707317,11,56.66158537
31/10/2018,5.824925816,55.16617211,8.884272997,10.27596439,62.52225519
31/10/2018,5.902439024,47.08841463,8.951219512,10.35670732,64.25304878
31/10/2018,5.52887538,46.6656535,8.310030395,10.88753799,65.11246201
31/10/2018,5.119760479,39.31137725,11.40718563,11,65.70359281
